,구,오염물질,월,평균값
0,강남구,CO,01,0.5632432432432433
1,강남구,CO,02,0.5757121439280359
2,강남구,CO,03,0.5683355886332883
3,강남구,CO,04,0.42905027932960893
4,강남구,CO,05,0.42027027027027025
5,강남구,CO,06,0.41078431372549024
6,강남구,CO,07,0.3124661246612466
7,강남구,CO,08,0.3423913043478261
8,강남구,CO,09,0.32249637155297534
9,강남구,CO,10,0.3882113821138211
10,강남구,CO,11,0.5161064425770309
11,강남구,CO,12,0.5264305177111717
12,강남구,NO2,01,0.03042162162162162
13,강남구,NO2,02,0.02898950524737631
14,강남구,NO2,03,0.032859269282814615
15,강남구,NO2,04,0.02340782122905028
16,강남구,NO2,05,0.019952702702702704
17,강남구,NO2,06,0.019666666666666666
18,강남구,NO2,07,0.017199186991869918
19,강남구,NO2,08,0.015591032608695652
20,강남구,NO2,09,0.01506821480406386
21,강남구,NO2,10,0.02279810298102981
22,강남구,NO2,11,0.03078151260504202
23,강남구,NO2,12,0.029031420765027325
24,강남구,O3,01,0.014154054054054054
25,강남구,O3,02,0.02190104947526237
26,강남구,O3,03,0.02469824086603518
27,강남구,O3,04,0.037529329608938546
28,강남구,O3,05,0.03597432432432432
29,강남구,O3,06,0.04095378151260504
30,강남구,O3,07,0.03709078590785908
31,강남구,O3,08,0.03279483695652174
32,강남구,O3,09,0.029921511627906974
33,강남구,O3,10,0.021588483146067417
34,강남구,O3,11,0.018484550561797753
35,강남구,O3,12,0.014209016393442622
36,강남구,PM10,01,0.03332551724137931
37,강남구,PM10,02,0.045838080959520244
38,강남구,PM10,03,0.06444986449864498
39,강남구,PM10,04,0.039955244755244756
40,강남구,PM10,05,0.059555555555555556
41,강남구,PM10,06,0.03376858345021038
42,강남구,PM10,07,0.026094979647218453
43,강남구,PM10,08,0.02215006821282401
44,강남구,PM10,09,0.014247093023255813
45,강남구,PM10,10,0.025589430894308946
46,강남구,PM10,11,0.042172268907563024
47,강남구,PM10,12,0.03582103825136612
48,강남구,PM2.5,01,0.021833558863328825
49,강남구,PM2.5,02,0.031280359820089955
50,강남구,PM2.5,03,0.033587044534412955
51,강남구,PM2.5,04,0.019525210084033615
52,강남구,PM2.5,05,0.01949728260869565
53,강남구,PM2.5,06,0.021131652661064426
54,강남구,PM2.5,07,0.015831521739130435
55,강남구,PM2.5,08,0.013846049046321526
56,강남구,PM2.5,09,0.0069448476052249635
57,강남구,PM2.5,10,0.012911924119241192
58,강남구,PM2.5,11,0.023715287517531554
59,강남구,PM2.5,12,0.02005054644808743
60,강남구,SO2,01,0.003654054054054054
61,강남구,SO2,02,0.0036191904047976012
62,강남구,SO2,03,0.003638700947225981
63,강남구,SO2,04,0.003490223463687151
64,강남구,SO2,05,0.003202702702702703
65,강남구,SO2,06,0.0034005602240896357
66,강남구,SO2,07,0.003181571815718157
67,강남구,SO2,08,0.0030842391304347827
68,강남구,SO2,09,0.002981132075471698
69,강남구,SO2,10,0.003214092140921409
70,강남구,SO2,11,0.003603641456582633
71,강남구,SO2,12,0.0034986338797814206
72,강동구,CO,01,0.5449118046132971
73,강동구,CO,02,0.5588323353293413
74,강동구,CO,03,0.48663967611336034
75,강동구,CO,04,0.34540389972144847
76,강동구,CO,05,0.3334231805929919
77,강동구,CO,06,0.36047486033519555
78,강동구,CO,07,0.2706919945725916
79,강동구,CO,08,0.30517482517482514
80,강동구,CO,09,0.2879888268156424
81,강동구,CO,10,0.40364864864864863
82,강동구,CO,11,0.4939606741573034
83,강동구,CO,12,0.5146143437077132
84,강동구,NO2,01,0.03103125
85,강동구,NO2,02,0.030488023952095808
86,강동구,NO2,03,0.03033918918918919
87,강동구,NO2,04,0.02183565459610028
88,강동구,NO2,05,0.018700808625336927
89,강동구,NO2,06,0.01631703910614525
90,강동구,NO2,07,0.013024423337856174
91,강동구,NO2,08,0.012447552447552449
92,강동구,NO2,09,0.012090782122905028
93,강동구,NO2,10,0.02218783783783784
94,강동구,NO2,11,0.030571629213483144
95,강동구,NO2,12,0.030159675236806495
96,강동구,O3,01,0.014583673469387754
97,강동구,O3,02,0.022291916167664672
98,강동구,O3,03,0.02346955128205128
99,강동구,O3,04,0.03531754874651811
100,강동구,O3,05,0.03277628032345013
101,강동구,O3,06,0.03792458100558659
102,강동구,O3,07,0.030244233378561736
103,강동구,O3,08,0.030086713286713286
104,강동구,O3,09,0.026868715083798882
105,강동구,O3,10,0.01816216216216216
106,강동구,O3,11,0.014331460674157304
107,강동구,O3,12,0.011220108695652172
108,강동구,PM10,01,0.042050477489768076
109,강동구,PM10,02,0.05210494752623688
110,강동구,PM10,03,0.06881929347826088
111,강동구,PM10,04,0.042442119944211994
112,강동구,PM10,05,0.06378932584269663
113,강동구,PM10,06,0.03152155172413793
114,강동구,PM10,07,0.021864197530864198
115,강동구,PM10,08,0.02110593220338983
116,강동구,PM10,09,0.014635703918722785
117,강동구,PM10,10,0.027324621733149933
118,강동구,PM10,11,0.046000000000000006
119,강동구,PM10,12,0.041545205479452056
120,강동구,PM2.5,01,0.025104477611940297
121,강동구,PM2.5,02,0.031305993690851734
122,강동구,PM2.5,03,0.03383288409703504
123,강동구,PM2.5,04,0.020215988779803646
124,강동구,PM2.5,05,0.019893854748603352
125,강동구,PM2.5,06,0.019934265734265735
126,강동구,PM2.5,07,0.01581855388813097
127,강동구,PM2.5,08,0.013116083916083916
128,강동구,PM2.5,09,0.006862745098039216
129,강동구,PM2.5,10,0.013474966170500677
130,강동구,PM2.5,11,0.02589029535864979
131,강동구,PM2.5,12,0.023619891008174385
132,강동구,SO2,01,0.003032520325203252
133,강동구,SO2,02,0.0028862275449101794
134,강동구,SO2,03,0.0025702702702702705
135,강동구,SO2,04,0.0024916434540389974
136,강동구,SO2,05,0.0023059299191374666
137,강동구,SO2,06,0.0024329608938547485
138,강동구,SO2,07,0.0022979591836734693
139,강동구,SO2,08,0.0022923076923076924
140,강동구,SO2,09,0.002092178770949721
141,강동구,SO2,10,0.002431081081081081
142,강동구,SO2,11,0.002768258426966292
143,강동구,SO2,12,0.002891632373113855
144,강북구,CO,01,0.5456756756756757
145,강북구,CO,02,0.5351270553064275
146,강북구,CO,03,0.49029649595687336
147,강북구,CO,04,0.3305439330543933
148,강북구,CO,05,0.31716216216216214
149,강북구,CO,06,0.32797202797202796
150,강북구,CO,07,0.28450134770889485
151,강북구,CO,08,0.31587078651685396
152,강북구,CO,09,0.3068435754189944
153,강북구,CO,10,0.3361673414304993
154,강북구,CO,11,0.47574022346368716
155,강북구,CO,12,0.5118918918918919
156,강북구,NO2,01,0.02445810810810811
157,강북구,NO2,02,0.02218086696562033
158,강북구,NO2,03,0.021745283018867925
159,강북구,NO2,04,0.014421199442119944
160,강북구,NO2,05,0.011754054054054055
161,강북구,NO2,06,0.011078321678321679
162,강북구,NO2,07,0.010588948787061995
163,강북구,NO2,08,0.010092696629213483
164,강북구,NO2,09,0.00891340782122905
165,강북구,NO2,10,0.01358974358974359
166,강북구,NO2,11,0.02187849162011173
167,강북구,NO2,12,0.023477027027027027
168,강북구,O3,01,0.015394594594594593
169,강북구,O3,02,0.022210762331838566
170,강북구,O3,03,0.027142857142857142
171,강북구,O3,04,0.03841980474198047
172,강북구,O3,05,0.03823139377537212
173,강북구,O3,06,0.04204055944055944
174,강북구,O3,07,0.03556950067476383
175,강북구,O3,08,0.03172191011235955
176,강북구,O3,09,0.031244413407821227
177,강북구,O3,10,0.024666666666666667
178,강북구,O3,11,0.022336592178770952
179,강북구,O3,12,0.0168472972972973
180,강북구,PM10,01,0.04336585365853658
181,강북구,PM10,02,0.05051351351351352
182,강북구,PM10,03,0.06647708894878707
183,강북구,PM10,04,0.041462937062937064
184,강북구,PM10,05,0.06094910591471802
185,강북구,PM10,06,0.030361344537815128
186,강북구,PM10,07,0.024017615176151762
187,강북구,PM10,08,0.022571830985915493
188,강북구,PM10,09,0.01681372549019608
189,강북구,PM10,10,0.02789416553595658
190,강북구,PM10,11,0.04773463687150838
191,강북구,PM10,12,0.041833558863328825
192,강북구,PM2.5,01,0.02158108108108108
193,강북구,PM2.5,02,0.028829085457271364
194,강북구,PM2.5,03,0.030577388963660836
195,강북구,PM2.5,04,0.017213986013986014
196,강북구,PM2.5,05,0.016921195652173916
197,강북구,PM2.5,06,0.0190688202247191
198,강북구,PM2.5,07,0.01678619756427605
199,강북구,PM2.5,08,0.012443037974683544
200,강북구,PM2.5,09,0.006505602240896359
201,강북구,PM2.5,10,0.012233378561736771
202,강북구,PM2.5,11,0.02508100558659218
203,강북구,PM2.5,12,0.022441891891891892
204,강북구,SO2,01,0.003574324324324324
205,강북구,SO2,02,0.0029297458893871448
206,강북구,SO2,03,0.002579514824797844
207,강북구,SO2,04,0.0023347280334728034
208,강북구,SO2,05,0.0020743243243243246
209,강북구,SO2,06,0.002355244755244755
210,강북구,SO2,07,0.0025256064690026957
211,강북구,SO2,08,0.002321629213483146
212,강북구,SO2,09,0.002111731843575419
213,강북구,SO2,10,0.0024411366711772665
214,강북구,SO2,11,0.0028659217877094975
215,강북구,SO2,12,0.002877027027027027
216,강서구,CO,01,0.49190283400809715
217,강서구,CO,02,0.5699551569506727
218,강서구,CO,03,0.5395945945945946
219,강서구,CO,04,0.395391061452514
220,강서구,CO,05,0.313550135501355
221,강서구,CO,06,0.3634965034965035
222,강서구,CO,07,0.27921195652173914
223,강서구,CO,08,0.37981029810298106
224,강서구,CO,09,0.40559440559440557
225,강서구,CO,10,0.4887186629526462
226,강서구,CO,11,0.66
227,강서구,CO,12,0.6668928086838535
228,강서구,NO2,01,0.032058029689608636
229,강서구,NO2,02,0.030327354260089687
230,강서구,NO2,03,0.033622972972972974
231,강서구,NO2,04,0.024164804469273743
232,강서구,NO2,05,0.023062330623306232
233,강서구,NO2,06,0.028101694915254237
234,강서구,NO2,07,0.01616183574879227
235,강서구,NO2,08,0.015144986449864497
236,강서구,NO2,09,0.01527972027972028
237,강서구,NO2,10,0.024063772048846674
238,강서구,NO2,11,0.03395182481751825
239,강서구,NO2,12,0.03280597014925373
240,강서구,O3,01,0.01539136302294197
241,강서구,O3,02,0.023079222720478326
242,강서구,O3,03,0.03042162162162162
243,강서구,O3,04,0.039987430167597766
244,강서구,O3,05,0.038126016260162605
245,강서구,O3,06,0.04151748251748252
246,강서구,O3,07,0.0371418826739427
247,강서구,O3,08,0.034191056910569104
248,강서구,O3,09,0.030758041958041958
249,강서구,O3,10,0.021430122116689283
250,강서구,O3,11,0.017694890510948906
251,강서구,O3,12,0.013869387755102042
252,강서구,PM10,01,0.040850202429149794
253,강서구,PM10,02,0.05304633781763827
254,강서구,PM10,03,0.07311668928086838
255,강서구,PM10,04,0.041792665726375175
256,강서구,PM10,05,0.06409640287769784
257,강서구,PM10,06,0.03297029702970297
258,강서구,PM10,07,0.02416326530612245
259,강서구,PM10,08,0.020840108401084013
260,강서구,PM10,09,0.01393688639551192
261,강서구,PM10,10,0.028502724795640325
262,강서구,PM10,11,0.050037845705967976
263,강서구,PM10,12,0.043861601085481684
264,강서구,PM2.5,01,0.022158108108108112
265,강서구,PM2.5,02,0.031983557548579976
266,강서구,PM2.5,03,0.035848238482384824
267,강서구,PM2.5,04,0.018664804469273745
268,강서구,PM2.5,05,0.022149051490514906
269,강서구,PM2.5,06,0.022799157303370787
270,강서구,PM2.5,07,0.016914402173913042
271,강서구,PM2.5,08,0.014296747967479675
272,강서구,PM2.5,09,0.007914565826330532
273,강서구,PM2.5,10,0.014264305177111717
274,강서구,PM2.5,11,0.026320232896652113
275,강서구,PM2.5,12,0.02131614654002714
276,강서구,SO2,01,0.004015047879616963
277,강서구,SO2,02,0.003892749244712991
278,강서구,SO2,03,0.0036517482517482523
279,강서구,SO2,04,0.0032183908045977016
280,강서구,SO2,05,0.003035374149659864
281,강서구,SO2,06,0.0029328671328671327
282,강서구,SO2,07,0.002562073669849932
283,강서구,SO2,08,0.00302710027100271
284,강서구,SO2,09,0.0030755244755244753
285,강서구,SO2,10,0.0036719424460431656
286,강서구,SO2,11,0.004662576687116564
287,강서구,SO2,12,0.004399153737658675
288,관악구,CO,01,0.6320270270270271
289,관악구,CO,02,0.615670436187399
290,관악구,CO,03,0.5912162162162162
291,관악구,CO,04,0.44692737430167595
292,관악구,CO,05,0.4352702702702703
293,관악구,CO,06,0.4522346368715084
294,관악구,CO,07,0.3711382113821138
295,관악구,CO,08,0.3955102040816326
296,관악구,CO,09,0.38034934497816597
297,관악구,CO,10,0.4798648648648649
298,관악구,CO,11,0.6318435754189944
299,관악구,CO,12,0.6517567567567568
300,관악구,NO2,01,0.036801351351351354
301,관악구,NO2,02,0.035373873873873876
302,관악구,NO2,03,0.039434312210200925
303,관악구,NO2,04,0.027131284916201114
304,관악구,NO2,05,0.02252162162162162
305,관악구,NO2,06,0.021783519553072624
306,관악구,NO2,07,0.0175609756097561
307,관악구,NO2,08,0.016224489795918368
308,관악구,NO2,09,0.015029112081513828
309,관악구,NO2,10,0.024894594594594595
310,관악구,NO2,11,0.03439245810055866
311,관악구,NO2,12,0.03529054054054054
312,관악구,O3,01,0.012497297297297297
313,관악구,O3,02,0.01967168674698795
314,관악구,O3,03,0.022438948995363216
315,관악구,O3,04,0.033583798882681565
316,관악구,O3,05,0.03342162162162162
317,관악구,O3,06,0.039534916201117314
318,관악구,O3,07,0.04397696476964769
319,관악구,O3,08,0.03667891156462585
320,관악구,O3,09,0.03777001455604076
321,관악구,O3,10,0.0261370420624152
322,관악구,O3,11,0.01936731843575419
323,관악구,O3,12,0.01157972972972973
324,관악구,PM10,01,0.03342740841248304
325,관악구,PM10,02,0.043957831325301205
326,관악구,PM10,03,0.061044594594594596
327,관악구,PM10,04,0.03791759776536313
328,관악구,PM10,05,0.05664276048714479
329,관악구,PM10,06,0.03335483870967742
330,관악구,PM10,07,0.025279835390946505
331,관악구,PM10,08,0.022194254445964432
332,관악구,PM10,09,0.01450509461426492
333,관악구,PM10,10,0.02634594594594595
334,관악구,PM10,11,0.04203361344537815
335,관악구,PM10,12,0.03602168021680217
336,관악구,PM2.5,01,0.01748849797023004
337,관악구,PM2.5,02,0.026596385542168675
338,관악구,PM2.5,03,0.02872093023255814
339,관악구,PM2.5,04,0.0174231843575419
340,관악구,PM2.5,05,0.018734501347708894
341,관악구,PM2.5,06,0.01914726507713885
342,관악구,PM2.5,07,0.015314713896457765
343,관악구,PM2.5,08,0.01324693042291951
344,관악구,PM2.5,09,0.0067117903930131
345,관악구,PM2.5,10,0.012866216216216217
346,관악구,PM2.5,11,0.025098039215686277
347,관악구,PM2.5,12,0.02247831978319783
348,관악구,SO2,01,0.0035243243243243245
349,관악구,SO2,02,0.0034804804804804807
350,관악구,SO2,03,0.0033635135135135132
351,관악구,SO2,04,0.003230446927374302
352,관악구,SO2,05,0.0029283783783783787
353,관악구,SO2,06,0.0033296089385474858
354,관악구,SO2,07,0.0031395663956639568
355,관악구,SO2,08,0.002691156462585034
356,관악구,SO2,09,0.002455604075691412
357,관악구,SO2,10,0.0028702702702702704
358,관악구,SO2,11,0.0032430167597765364
359,관악구,SO2,12,0.0033013513513513513
360,광진구,CO,01,0.626145552560647
361,광진구,CO,02,0.562125748502994
362,광진구,CO,03,0.5435897435897437
363,광진구,CO,04,0.37960893854748606
364,광진구,CO,05,0.41810810810810806
365,광진구,CO,06,0.48061366806136685
366,광진구,CO,07,0.40175438596491225
367,광진구,CO,08,0.4193243243243243
368,광진구,CO,09,0.45698324022346365
369,광진구,CO,10,0.46329284750337385
370,광진구,CO,11,0.6447552447552447
371,광진구,CO,12,0.6214285714285714
372,광진구,NO2,01,0.025456873315363882
373,광진구,NO2,02,0.02570508982035928
374,광진구,NO2,03,0.028541160593792175
375,광진구,NO2,04,0.01958659217877095
376,광진구,NO2,05,0.017324324324324326
377,광진구,NO2,06,0.015460251046025105
378,광진구,NO2,07,0.012699055330634278
379,광진구,NO2,08,0.013456756756756756
380,광진구,NO2,09,0.011297486033519554
381,광진구,NO2,10,0.015862481315396113
382,광진구,NO2,11,0.027923076923076922
383,광진구,NO2,12,0.03136991869918699
384,광진구,O3,01,0.011417789757412398
385,광진구,O3,02,0.016622262773722626
386,광진구,O3,03,0.023960863697705802
387,광진구,O3,04,0.03550139664804469
388,광진구,O3,05,0.03537567567567568
389,광진구,O3,06,0.039789400278940026
390,광진구,O3,07,0.0377638326585695
391,광진구,O3,08,0.038400000000000004
392,광진구,O3,09,0.028667597765363127
393,광진구,O3,10,0.02027800269905533
394,광진구,O3,11,0.015973426573426572
395,광진구,O3,12,0.012418353576248313
396,광진구,PM10,01,0.03454878048780488
397,광진구,PM10,02,0.04498953662182362
398,광진구,PM10,03,0.06339864864864865
399,광진구,PM10,04,0.040670868347338934
400,광진구,PM10,05,0.059813513513513515
401,광진구,PM10,06,0.03149303621169917
402,광진구,PM10,07,0.02325034013605442
403,광진구,PM10,08,0.02191196698762036
404,광진구,PM10,09,0.014747545582047687
405,광진구,PM10,10,0.025859269282814613
406,광진구,PM10,11,0.043902097902097904
407,광진구,PM10,12,0.03675848032564451
408,광진구,PM2.5,01,0.021124156545209178
409,광진구,PM2.5,02,0.02949025487256372
410,광진구,PM2.5,03,0.03100135135135135
411,광진구,PM2.5,04,0.018130252100840336
412,광진구,PM2.5,05,0.019090540540540542
413,광진구,PM2.5,06,0.017956764295676428
414,광진구,PM2.5,07,0.014414864864864865
415,광진구,PM2.5,08,0.013672998643147896
416,광진구,PM2.5,09,0.0070139860139860144
417,광진구,PM2.5,10,0.013183783783783784
418,광진구,PM2.5,11,0.026188547486033522
419,광진구,PM2.5,12,0.02326829268292683
420,광진구,SO2,01,0.0028007968127490043
421,광진구,SO2,02,0.003008982035928144
422,광진구,SO2,03,0.0033009446693657222
423,광진구,SO2,04,0.003175977653631285
424,광진구,SO2,05,0.0033810810810810813
425,광진구,SO2,06,0.003241283124128312
426,광진구,SO2,07,0.002970310391363023
427,광진구,SO2,08,0.002447297297297297
428,광진구,SO2,09,0.0034427374301675977
429,광진구,SO2,10,0.0025560053981106613
430,광진구,SO2,11,0.0029916083916083917
431,광진구,SO2,12,0.0024480431848852902
432,구로구,CO,01,0.4601889338731444
433,구로구,CO,02,0.4393712574850299
434,구로구,CO,03,0.44627875507442494
435,구로구,CO,04,0.35598885793871865
436,구로구,CO,05,0.3702156334231806
437,구로구,CO,06,0.3838440111420613
438,구로구,CO,07,0.31416893732970025
439,구로구,CO,08,0.3543243243243243
440,구로구,CO,09,0.40487465181058496
441,구로구,CO,10,0.44013513513513514
442,구로구,CO,11,0.4167832167832168
443,구로구,CO,12,0.48814016172506736
444,구로구,NO2,01,0.03174932249322494
445,구로구,NO2,02,0.03045209580838323
446,구로구,NO2,03,0.03249797023004059
447,구로구,NO2,04,0.022480501392757663
448,구로구,NO2,05,0.020251012145748988
449,구로구,NO2,06,0.020174337517433753
450,구로구,NO2,07,0.016256317689530685
451,구로구,NO2,08,0.013551351351351352
452,구로구,NO2,09,0.012807799442896936
453,구로구,NO2,10,0.02030604982206406
454,구로구,NO2,11,0.031363782051282055
455,구로구,NO2,12,0.029672530446549394
456,구로구,O3,01,0.01564054054054054
457,구로구,O3,02,0.023330838323353295
458,구로구,O3,03,0.026098495212038303
459,구로구,O3,04,0.03952367688022284
460,구로구,O3,05,0.03977493261455526
461,구로구,O3,06,0.04401810584958217
462,구로구,O3,07,0.04356214689265536
463,구로구,O3,08,0.038643243243243246
464,구로구,O3,09,0.03479805013927577
465,구로구,O3,10,0.026312925170068027
466,구로구,O3,11,0.022545454545454546
467,구로구,O3,12,0.018196765498652293
468,구로구,PM10,01,0.03939069111424542
469,구로구,PM10,02,0.05081437125748504
470,구로구,PM10,03,0.0749863387978142
471,구로구,PM10,04,0.04719803370786518
472,구로구,PM10,05,0.06446575342465753
473,구로구,PM10,06,0.03156899004267426
474,구로구,PM10,07,0.01946412213740458
475,구로구,PM10,08,0.019114874815905746
476,구로구,PM10,09,0.01520203488372093
477,구로구,PM10,10,0.02882344827586207
478,구로구,PM10,11,0.04592806770098731
479,구로구,PM10,12,0.04083717774762551
480,구로구,PM2.5,01,0.020037921348314607
481,구로구,PM2.5,02,0.029091454272863568
482,구로구,PM2.5,03,0.03561246612466125
483,구로구,PM2.5,04,0.02052204836415363
484,구로구,PM2.5,05,0.02219891008174387
485,구로구,PM2.5,06,0.01446433770014556
486,구로구,PM2.5,07,0.012512555391432792
487,구로구,PM2.5,08,0.011085987261146497
488,구로구,PM2.5,09,0.007378698224852071
489,구로구,PM2.5,10,0.013417256011315418
490,구로구,PM2.5,11,0.027487218045112782
491,구로구,PM2.5,12,0.02378434268833087
492,구로구,SO2,01,0.004367567567567568
493,구로구,SO2,02,0.003947604790419162
494,구로구,SO2,03,0.003407055630936228
495,구로구,SO2,04,0.003614206128133705
496,구로구,SO2,05,0.0032520215633423184
497,구로구,SO2,06,0.003389121338912134
498,구로구,SO2,07,0.0031675749318801094
499,구로구,SO2,08,0.00283085250338295
500,구로구,SO2,09,0.0025264623955431756
501,구로구,SO2,10,0.003048648648648649
502,구로구,SO2,11,0.0028653001464128843
503,구로구,SO2,12,0.0028840970350404315
504,금천구,CO,01,0.615040650406504
505,금천구,CO,02,0.5908682634730539
506,금천구,CO,03,0.5409459459459459
507,금천구,CO,04,0.388268156424581
508,금천구,CO,05,0.36548431105047746
509,금천구,CO,06,0.39535864978902957
510,금천구,CO,07,0.32392550143266474
511,금천구,CO,08,0.33414965986394557
512,금천구,CO,09,0.326783114992722
513,금천구,CO,10,0.39252199413489736
514,금천구,CO,11,0.5252793296089385
515,금천구,CO,12,0.5753721244925575
516,금천구,NO2,01,0.03315989159891599
517,금천구,NO2,02,0.03237425149700599
518,금천구,NO2,03,0.03373783783783784
519,금천구,NO2,04,0.023677374301675977
520,금천구,NO2,05,0.019394270122783084
521,금천구,NO2,06,0.01943478260869565
522,금천구,NO2,07,0.016933423913043477
523,금천구,NO2,08,0.015595918367346938
524,금천구,NO2,09,0.014231441048034933
525,금천구,NO2,10,0.02571718538565629
526,금천구,NO2,11,0.036312849162011177
527,금천구,NO2,12,0.038957478005865104
528,금천구,O3,01,0.015498644986449865
529,금천구,O3,02,0.0235314371257485
530,금천구,O3,03,0.025936486486486488
531,금천구,O3,04,0.03853631284916201
532,금천구,O3,05,0.03670259208731241
533,금천구,O3,06,0.03979523141654979
534,금천구,O3,07,0.035002717391304346
535,금천구,O3,08,0.03210612244897959
536,금천구,O3,09,0.030502183406113534
537,금천구,O3,10,0.021265223274695533
538,금천구,O3,11,0.016462290502793298
539,금천구,O3,12,0.01293640054127199
540,금천구,PM10,01,0.04086950549450549
541,금천구,PM10,02,0.053067073170731706
542,금천구,PM10,03,0.06871929824561404
543,금천구,PM10,04,0.04087709497206704
544,금천구,PM10,05,0.05684254143646409
545,금천구,PM10,06,0.033394625176803396
546,금천구,PM10,07,0.025799180327868855
547,금천구,PM10,08,0.022442622950819672
548,금천구,PM10,09,0.015660237388724036
549,금천구,PM10,10,0.02581571815718157
550,금천구,PM10,11,0.04379606188466948
551,금천구,PM10,12,0.03905205479452055
552,금천구,PM2.5,01,0.023215469613259668
553,금천구,PM2.5,02,0.03372408536585366
554,금천구,PM2.5,03,0.034502695417789754
555,금천구,PM2.5,04,0.019928270042194093
556,금천구,PM2.5,05,0.02086173184357542
557,금천구,PM2.5,06,0.022505649717514127
558,금천구,PM2.5,07,0.018875
559,금천구,PM2.5,08,0.014711354309165526
560,금천구,PM2.5,09,0.009757847533632288
561,금천구,PM2.5,10,0.013906630581867389
562,금천구,PM2.5,11,0.026187060478199718
563,금천구,PM2.5,12,0.023927272727272728
564,금천구,SO2,01,0.00336449864498645
565,금천구,SO2,02,0.0033248502994011977
566,금천구,SO2,03,0.003022972972972973
567,금천구,SO2,04,0.0027849162011173182
568,금천구,SO2,05,0.0025784447476125513
569,금천구,SO2,06,0.00306025824964132
570,금천구,SO2,07,0.0029008152173913048
571,금천구,SO2,08,0.0026888217522658612
572,금천구,SO2,09,0.0024643377001455605
573,금천구,SO2,10,0.003307171853856563
574,금천구,SO2,11,0.00425977653631285
575,금천구,SO2,12,0.004075778078484438
576,노원구,CO,01,0.6742547425474255
577,노원구,CO,02,0.6526946107784432
578,노원구,CO,03,0.5940217391304348
579,노원구,CO,04,0.43919107391910733
580,노원구,CO,05,0.4193504736129905
581,노원구,CO,06,0.41913407821229054
582,노원구,CO,07,0.34408163265306124
583,노원구,CO,08,0.37184873949579833
584,노원구,CO,09,0.3549418604651163
585,노원구,CO,10,0.45337837837837835
586,노원구,CO,11,0.6131101813110181
587,노원구,CO,12,0.6355886332882273
588,노원구,NO2,01,0.030337398373983738
589,노원구,NO2,02,0.03129640718562874
590,노원구,NO2,03,0.029
591,노원구,NO2,04,0.02111018131101813
592,노원구,NO2,05,0.01806495263870095
593,노원구,NO2,06,0.015576815642458101
594,노원구,NO2,07,0.014344217687074829
595,노원구,NO2,08,0.012963585434173669
596,노원구,NO2,09,0.012517441860465117
597,노원구,NO2,10,0.02157972972972973
598,노원구,NO2,11,0.03011994421199442
599,노원구,NO2,12,0.029250338294993232
600,노원구,O3,01,0.01649051490514905
601,노원구,O3,02,0.02308682634730539
602,노원구,O3,03,0.026812500000000003
603,노원구,O3,04,0.03709344490934449
604,노원구,O3,05,0.034838971583220565
605,노원구,O3,06,0.041002793296089385
606,노원구,O3,07,0.03640408163265306
607,노원구,O3,08,0.033210084033613446
608,노원구,O3,09,0.03170203488372093
609,노원구,O3,10,0.02169241192411924
610,노원구,O3,11,0.018482566248256626
